date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:19:51	744/744	---MCZ	200	added ('OK')	text/plain	etag:W/%2263f9c520-88d%22	https://www.programiz.com/robots.txt		(from )
10:19:51	28403/28403	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202023%2004:49:48%20GMT	https://www.programiz.com/java-programming/online-compiler/	E:/compiler/www.programiz.com/java-programming/online-compiler/index.html	(from )
10:19:52	1137/1137	---MC-	200	added ('OK')	image/png	date:Fri,%2005%20May%202023%2003:48:47%20GMT	https://cdn.programiz.com/sites/tutorial2program/files/programiz-favicon_3.png	E:/compiler/cdn.programiz.com/sites/tutorial2program/files/programiz-favicon_3.png	(from https://www.programiz.com/java-programming/online-compiler/)
10:19:52	3482/3482	---MCZ	200	added ('OK')	application/javascript	etag:W/%223f7502eef04ea6c692c94432a072f740%22	https://cmp.uniconsent.com/v2/stub.min.js	E:/compiler/cmp.uniconsent.com/v2/stub.min.js	(from https://www.programiz.com/java-programming/online-compiler/)
10:19:52	2675/2675	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ddaf1db4770525ba2446c9bf9249e872%22	https://cmp.uniconsent.com/v2/a8d3ae4937/cmp.js	E:/compiler/cmp.uniconsent.com/v2/a8d3ae4937/cmp.js	(from https://www.programiz.com/java-programming/online-compiler/)
10:19:53	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Jun%202023%2004:49:49%20GMT	http://dsh7ky7308k4b.cloudfront.net/publishers/Programizcomnew.min.js	E:/compiler/dsh7ky7308k4b.cloudfront.net/publishers/Programizcomnew.min.3.delayed	(from https://www.programiz.com/java-programming/online-compiler/)
10:19:56	902757/902757	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202023%2004:49:52%20GMT	https://dsh7ky7308k4b.cloudfront.net/publishers/Programizcomnew.min.js	E:/compiler/dsh7ky7308k4b.cloudfront.net/publishers/Programizcomnew.min.html	(from https://www.programiz.com/java-programming/online-compiler/)
10:19:56	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2021%20Jun%202023%2004:49:53%20GMT	https://www.googletagmanager.com/gtm.js?id=	E:/compiler/www.googletagmanager.com/gtm.75445.delayed	(from https://www.programiz.com/java-programming/online-compiler/)
10:19:57	28286/28286	---MCZ	200	added ('OK')	text/css	etag:W/%22648c0960-6e7e%22	https://www.programiz.com/java-programming/online-compiler/playground.css?v=1fsaf	E:/compiler/www.programiz.com/java-programming/online-compiler/playground8dc9.css	(from https://www.programiz.com/java-programming/online-compiler/)
10:19:58	5698/5698	---M--	200	added ('OK')	image/svg+xml	etag:%22648c0960-1642%22	https://www.programiz.com/java-programming/online-compiler/assets/logos/logo.svg	E:/compiler/www.programiz.com/java-programming/online-compiler/assets/logos/logo.svg	(from https://www.programiz.com/java-programming/online-compiler/)
10:19:59	386/386	---M--	200	added ('OK')	image/svg+xml	etag:%22648c0960-182%22	https://www.programiz.com/java-programming/online-compiler/assets/icons/close.svg	E:/compiler/www.programiz.com/java-programming/online-compiler/assets/icons/close.svg	(from https://www.programiz.com/java-programming/online-compiler/)
10:20:00	990/990	---M--	200	added ('OK')	image/svg+xml	etag:%22648c0960-3de%22	https://www.programiz.com/java-programming/online-compiler/assets/icons/python.svg	E:/compiler/www.programiz.com/java-programming/online-compiler/assets/icons/python.svg	(from https://www.programiz.com/java-programming/online-compiler/)
10:20:02	1142/1142	---M--	200	added ('OK')	image/svg+xml	etag:%22648c0960-476%22	https://www.programiz.com/java-programming/online-compiler/assets/icons/r.svg	E:/compiler/www.programiz.com/java-programming/online-compiler/assets/icons/r.svg	(from https://www.programiz.com/java-programming/online-compiler/)
10:20:03	5116/5116	---M--	200	added ('OK')	image/svg+xml	etag:%22648c0960-13fc%22	https://www.programiz.com/java-programming/online-compiler/assets/icons/sql.svg	E:/compiler/www.programiz.com/java-programming/online-compiler/assets/icons/sql.svg	(from https://www.programiz.com/java-programming/online-compiler/)
